,food,cat,subcat,kalescale,nd,protein,fiber,calcium,iron,magnesium,phosphorous,potassium,sodium,zinc,copper,manganese,selenium,vitc,thiamin,riboflavin,niacin,pantothenicacid,vitb6,folate,vitb12,vita,vite,vitd,vitk
3059,"NEW ZEALAND SPINACH,RAW",vegetable,greens,128,22.44524158,0.214285714,0.428571429,0.414285714,0.317460317,0.696428571,0.2,0.265306122,0.386904762,0.180952381,0.332142857,2.282142857,0.071428571,3.571428571,0.19047619,0.546218487,0.178571429,0.222857143,1.085714286,0.267857143,0,6.285714286,0.482993197,0,30.08928571
3294,"WATERCRESS,RAW",vegetable,green,127,22.26523515,0.418181818,0.181818182,1.090909091,0.101010101,0.477272727,0.545454545,0.857142857,0.15530303,0.066666667,0.35,1.109090909,0.116883117,6.515151515,0.545454545,0.64171123,0.090909091,0.281818182,0.586363636,0.204545455,0,5.801818182,0.432900433,0,28.40909091
3202,"SPINACH,RAW",vegetable,green,127,22.17922769,0.248695652,0.382608696,0.430434783,0.654589372,0.858695652,0.213043478,0.693167702,0.143115942,0.153623188,0.282608696,1.95,0.062111801,2.036231884,0.226086957,0.483375959,0.157391304,0.02826087,0.423913043,2.108695652,0,8.153913043,0.420289855,0,26.24456522
2904,"BEET GREENS,RAW",vegetable,greens,122,21.36464557,0.2,0.672727273,0.531818182,0.648989899,0.795454545,0.186363636,0.98961039,0.428030303,0.115151515,0.434090909,0.888636364,0.058441558,2.272727273,0.303030303,0.588235294,0.090909091,0.113636364,0.240909091,0.170454545,0,5.750909091,0.324675325,0,22.72727273
2953,"CHARD,SWISS,RAW",vegetable,,120,20.89737766,0.189473684,0.336842105,0.268421053,0.526315789,1.065789474,0.242105263,0.569924812,0.467105263,0.126315789,0.471052632,0.963157895,0.067669173,2.631578947,0.140350877,0.278637771,0.105263158,0.090526316,0.260526316,0.184210526,0,6.437894737,0.473684211,0,54.60526316
2967,"CORIANDER (CILANTRO) LEAVES,RAW",vegetable,,119,20.76375456,0.185217391,0.486956522,0.291304348,0.427536232,0.282608696,0.208695652,0.647204969,0.083333333,0.144927536,0.489130435,0.926086957,0.055900621,1.956521739,0.194202899,0.414322251,0.242173913,0.247826087,0.323913043,0.673913043,0,5.867826087,0.517598344,0,16.84782609
2958,"CHICORY GREENS,RAW",vegetable,greens,116,20.26245002,0.147826087,0.695652174,0.434782609,0.217391304,0.326086957,0.204347826,0.52173913,0.081521739,0.12173913,0.641304348,0.932608696,0.01863354,1.739130435,0.173913043,0.255754476,0.108695652,0.503913043,0.22826087,1.195652174,0,4.971304348,0.467908903,0,16.17391304
2914,"BROCCOLI RAAB,RAW",vegetable,,115,20.04410991,0.288181818,0.490909091,0.490909091,0.54040404,0.25,0.331818182,0.254545455,0.0625,0.233333333,0.095454545,0.897727273,0.064935065,1.53030303,0.490909091,0.344919786,0.2775,0.146363636,0.388636364,0.943181818,0,2.383636364,0.350649351,0,12.72727273
2931,"CABBAGE,CHINESE (PAK-CHOI),RAW",vegetable,,110,19.25845026,0.230769231,0.307692308,0.807692308,0.341880342,0.365384615,0.284615385,0.553846154,0.208333333,0.097435897,0.080769231,0.611538462,0.054945055,5.769230769,0.205128205,0.316742081,0.192307692,0.067692308,0.746153846,1.269230769,0,6.873846154,0.032967033,0,4.375
3002,"ENDIVE,RAW",vegetable,,107,18.65851417,0.147058824,0.729411765,0.305882353,0.27124183,0.220588235,0.164705882,0.527731092,0.053921569,0.309803922,0.291176471,1.235294118,0.016806723,0.637254902,0.31372549,0.259515571,0.117647059,0.529411765,0.058823529,2.088235294,0,2.549411765,0.1232493,0,16.98529412
